Group,Question,Expected Answer 1,Expected Answer 2,Expected Answer 3,CODE,Answers,Bad Answer 1,Bad Answer score,Bad Answer 2,Bad Answer 2 score,Bad Answer 3,Bad Answer 3 score
1,There are large brown spots in my lawn that seem to be spreading. What should I do?,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html,,"http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html",http://ipm.ucanr.edu/TOOLS/TURF/PESTS/disanthrac.html,0.49,http://ipm.ucanr.edu/PMG/WEEDS/field_madder.html,,0.5,
1,What could be causing the big dead spots in my lawn? I think they are getting larger.,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html,,"http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html",http://ipm.ucanr.edu/TOOLS/TURF/PESTS/disanthrac.html,0.49,http://ipm.ucanr.edu/PMG/WEEDS/field_madder.html,,0.5,
1,I have noticed significant patches of dead grass in my lawn that appear to be growing. What do you think could be going on?,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html,,"http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html",http://ipm.ucanr.edu/TOOLS/TURF/PESTS/disanthrac.html,0.49,http://ipm.ucanr.edu/PMG/WEEDS/field_madder.html,,0.5,
1,My lawn has patchy areas of dead grass. What do you think could be the issue? I am afraid the brown spots are getting larger.,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html,,"http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html",http://ipm.ucanr.edu/TOOLS/TURF/PESTS/disanthrac.html,0.49,http://ipm.ucanr.edu/PMG/WEEDS/field_madder.html,,0.5,
1,What sort of treatment is required for the areas of my lawn that are dying off in the middle of green grass? The brown spots are spreading.,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html,,"http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7497.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html",http://ipm.ucanr.edu/TOOLS/TURF/PESTS/disanthrac.html,0.49,http://ipm.ucanr.edu/PMG/WEEDS/field_madder.html,,0.5,
2,What could be causing the holes in my kale plant leaves?,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html,"http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html","http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html",http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/yuccaweevil.html,0.49,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/rtnem.html,0.48,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/shfollagemin.html,0.45
2,Something is eating holes in my kale plant leaves. What could it be?,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html,"http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html","http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html",http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/yuccaweevil.html,0.49,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/rtnem.html,0.48,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/shfollagemin.html,0.45
2,The leaves on my kale have holes in them. What sorts of things could be causing this?,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html,"http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html","http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html",http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/yuccaweevil.html,0.49,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/rtnem.html,0.48,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/shfollagemin.html,0.45
2,I have noticed holes appearing in the kale leaves in my garden. What could be making them?,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html,"http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html","http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html",http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/yuccaweevil.html,0.49,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/rtnem.html,0.48,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/shfollagemin.html,0.45
2,The kale from my garden has a lot of holes in the leaves. How do I prevent this?,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html,"http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html","http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/colecropwater.html
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74166.html
http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/broccoliharvest.html",http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/yuccaweevil.html,0.49,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/rtnem.html,0.48,http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/shfollagemin.html,0.45
