Pest damages,synonyms,target name
bacterias,,bacteria
bands,,band
bites,,bite
blackleg,,blacklegs
blight,,blights
blisters,,blister
blotches,"spot, spots",blotch
break,,break
bumps,bump,bumps
chlorosis,,chlorosis
clubroot,clubroots,clubroot
creases,crease,crease
diebacks,,dieback
discoloration,,discoloration
dots,,dot
excrement,frass,excrements
flecks,,fleck
rosette,,rosette
galls,,gall
gel,,gels
gouges,,gouge
gums,,gum
gumming,,gumming
holes,,hole
honeydew,,honeydew
leafspots,,leafspot
lesions,,lesion
margins,,margin
mines,,mine
mining,,minings
mycelia,"mycelium, mycelial fans",mycelia
necrosis,,necrosis
nests,,nest
oozing,,oozings
ooze,,ooze
pustules,,pustule
rot,rots,rot
rots,rot,rot
russette,,russette
rusts,,rusts
sap,,sap
sawdust,,sawdust
scab,,scab
scabs,,scab
scars,,scar
shrivel,,shrivel
growth,,growth
smoulder,,smoulder
smut,bunt,smut
soot,,soot
sour,,sour
specks,,speck
spores,,spore
spot,,blotch
spots,,blotch
stains,,stain
stings,,sting
streaks,,streak
suckers,,sucker
swell,,swells
swellings,,swelling
trails,,trail
tumors,,tumor
tunneling,,tunneling
tunnels,,tunnel
wilt,,wilt
wounds,,wound
