Pest names,synonyms,target name
aphids,,aphid
bats,,bat
bedstraw,"common bedstraw, catchweed bedstraw, cleavers, grip plant, Velcro plant",bedstraw
beetles,,beetle
birds,,bird
borers,,borer
brooms,"Scotch broom, English broom, Portugese broom, French broom, sweet broom",broom
bugs,insects,bug
buttercup,"buttercup oxalis, Bermuda buttercup, Cape oxalis, weedy Cape oxalis, Cape sorrel, African wood-sorrel, African wood sorrel, African woodsorrel, buttercup wood-sorrel, buttercup sorrel, Bermuda oxalis, Bermuda sorrel, 
Bermuda-buttercup wood-sorrel, Bermuda buttercup wood sorrel, Bermuda-buttercup, Bermudabuttercup, weedy Bermuda buttercup, soursob, sour-sob, sour sob, soursobs, sour-sobs, sour sobs, nanny-goat's foot",buttercup
canker,"lesion, sunken area",canker
caterpillars,"worm, larva, oakworm, earworm, hornworm, fruitworm, pinworm, looper, cutworm",worm
centipedes,,centipede
chickweeds,"common stellaria, common garden chickweed, garden chickweed, introduced chickweed, chick wittles, chickwittles, chickwhirtles, chicken's meat, chickenmeat, clucken wort, cluckenweed, cluckweed, cheekweed, cheek weed, scarwort, mischievous Jack, skirt buttons, white bird's-eye, white bird's eye, little star lady",chickweed
clovers,"black medic, little hop clover, California burclover, shamrock, sweet clover, white trefoil, lamb-sucklings, lamb sucklings, lamb's suckling, sheep's-gowan, sheep's gowan, claver, clower, true trefoil, purplewort, purple-wort, purple wort, seamrog, medicago, medick, medic, bur medick, burr medick, bur medic, burr medic, burmedic, burrmedic, burclover, burrclover, bur-clover, bur clover, burr clover, burr-clover, melilot, melilot trefoil, nonsuch",clover
cockroaches,,cockroach
coyotes,"prairie wolf, brush wolf, American jackal",coyote
dandelions,"lion's tooth, puffball, blowball, monk's head, weedy dandelion, common dandelion, common dandylion, roadside dandelion,  lawn dandelion, English dandelion, introduced dandelion, brown-seeded dandelion, brown-seed dandelion, crocus dandelion, dent-de-lion, dent de lion, dens leon, lion's-tooth, lions-tooth, lions tooth, lion's-teeth, lion's teeth, lions-teeth, lions teeth, blow-ball, blow ball, blowballs, dandelion clock, faceclock, fairy clock, peasant's clock, door head clock, doon-head-clock, doonhead clock, doonheadclock, doonhead, milk gowan, milk-gowan, milkgowan, milk witch gowan, milk-witch gowan, priest's-crown, priest's crown, priests crown, piss-in-bed, piss-abed, pee-a-bed, wet-a-bed, pissenlit, swine's snout, swines snout, swine snout, sun-in-the-grass, sun in the grass, dashaloga, dumbledore",dandelion
deer,,deer
disease,disorder,disease
dodder,"amarbel, love vine, Californa dodder, chaparral dodder",dodder
drosophilas,fruit fly,drosophila
earwigs,"pincher bug, forkytail",earwig
firebrats,bristletail,bristletail
fleas,,flea
flies,,fly
fungi,"mold, mildew, mushroom, conk, toadstool, decay, rot, rust",fungus
gnats,,gnat
gophers,pocket gopher,gopher
grass,"lawn, turf, turfgrass",grass
grasshoppers,,grasshopper
groundsel,"common groundsel, old-man-of-the-spring, common garden groundsel, garden groundsel, common butterweed, old-man-in-the-Spring, old man in the spring, old man in the Spring, old-man-of-spring, old man of spring, grimsel, grinsel, watterydrum, groundie-swallow, groundie swallow, chincone, sencion, simson, swichen",groundsel
hemlocks,"deadly hemlock, poison parsley, spotted hemlock, European hemlock, California fern, Nebraska fern",hemlocks
horntails,wasp,wasp
insects,bugs,bug
invaders,,invader
kyllinga,sedge,kyllinga
larva,worm,worm
larvae,worm,worm
leafminers,,leafminer
leafrollers,,leafroller
lice,louse,lice
lizards,,lizard
mallows,"common mallow, cheeseweed, little mallow, dwarf malva, dwarf cheeseweed, running mallow, running mallows, umbrella mallow, fairy-cheese, fairy cheese, fairy cheeses, fairy-cheeses, doll-cheese, doll cheese, doll cheeses, Dutch cheese, Dutch-cheese, cheesetts, common cheeses",mallow
mealybugs,,mealybug
mice,"mouse, rodent, house mouse",mouse
mildew,"mold, fungi, fungus",fungus
millipedes,,millipede
mistletoes,"leafy mistletoe, broadleafed mistletoe, dwarf mistletoe",mistletoe
mites,,mite
mold,"fungi, mildew, fungus",fungus
moles,broad-footed mole,mole
mosquitoes,,mosquito
moths,,moth
mushrooms,"fungus, fungi, toadstools, conks",fungus
nematodes,roundworm,nematode
nettles,"burning nettle, burning nettles, stinging nettle, stinging nettles, dwarf nettle, small nettle, small burning nettle, dwarf stinging-nettle, dwarf stinging nettle, dwarf stingingnettle, annual dwarf nettle, common annual stinging nettle, common annual stinging-nettle, annual stinging-nettle, annual stinging nettle, annual nettle, small stinging-nettle, small stinging nettle, small nettle, lesser stinging-nettle, lesser stinging nettle, lesser nettle, nasty stingy nettle, stingy nettle stinging-nettel, stinging nettel, common perennial stinging-nettle, common perennial stinging nettle, common perennial nettle, perennial nettle, common widespread stinging nettle, widespread stinging nettle, great stinging-nettle, great stinging nettle, great nettle, greater nettle, big-sting nettle, big sting nettle, bigsting nettle, tenging nettle, tanging nettle, tinging, slender nettle, tall nettle, creek nettle, seven-minute itch, seven minute itch, hoky-poky, hoky poky, hidgy-pidgy, heg-beg, scaddie",nettle
nutsedges,"nutgrass, purple nutsedge, yellow nutsedge, purple flat-sedge, purple flat sedge, purple flatsedge, purple nutsedge, purple nut-sedge, purple nut sedge, purple nut-grass, purple nut grass, purple nutgrass, red nutsedge, red nut-sedge, red nut sedge, round cyperus, round flat-sedge, coco nutsedge, coco sedge, coco nut-grass, coco-grass, coco grass, cocograss, nut-grass flatsedge, flatsedge, nutgrass galingale, southern nut-grass, southern nut grass, southern nutgrass, tagernut",nutsedge
borer,,borer
oakworms,,worm
opossums,"possum, Virginia opossum",opossum
parasites,pathogens,parasite
pepperweeds,"broad-leaved peppergrass, broad-leaved pepper-grass, broad-leaved pepper grass, broad leaved pepper grass, broad-leaved pepperwort, broad-leaved pepper-wort, broad-leaved pepper-weed, broad-leaved pepperweed, broad leaved pepperweed, broadleaved pepperweed, broad-leafed peppergrass, broad-leaf pepperwort, broad leaf pepperwort, broad-leaf pepper-grass, broad-leaf pepper grass, broad-leaf peppergrass, broadleaf pepperplant, broadleaf pepper-plant, broadleaf pepperwort, broadleaf peppergrass, broadleaf pepper-grass, broadleaf pepper grass, broadleaf pepperweed, tall whitetop, tall white-top, tall white top, perennial peppercress",pepperweed
pigs,"wild pig, hog, swine, wild boar, wild hog, razorback, piney woods rooter, Russian boar, Eurasian boar.",pig
