main_synonym,synonym_list
aphid,"aphid, aphids"
bat,"bat, bats"
bedstraw,"grip plant, common bedstraw, bedstraw, catchweed bedstraw, velcro plant, cleavers"
beetle,"beetle, beetles"
bird,"bird, swallows, birds"
borer,"borer, borers"
bristletail,"bristletail, firebrats, silverfish"
broom,"french broom, english broom, sweet broom, brooms, broom, portugese broom, scotch broom"
bug,"insects, bugs, bug"
buttercup,"soursobs, soursob, sour-sob, sour-sobs, bermuda-buttercup, bermuda oxalis, cape sorrel, african wood-sorrel, bermudabuttercup, buttercup wood-sorrel, nanny-goat's foot, bermuda sorrel, buttercup sorrel, weedy cape oxalis, african woodsorrel, bermuda-buttercup wood-sorrel, sour sobs, bermuda buttercup wood sorrel, weedy bermuda buttercup, buttercup, african wood sorrel, bermuda buttercup, buttercup oxalis, cape oxalis, sour sob"
canker,"sunken area, canker, lesion"
centipede,"centipedes, centipede"
chickweed,"chickenmeat, skirt buttons, cluckenweed, common garden chickweed, cheek weed, garden chickweed, cluckweed, mischievous jack, little star lady, scarwort, chicken's meat, chickwittles, clucken wort, chickweed, white bird's eye, common stellaria, cheekweed, white bird's-eye, chickwhirtles, chick wittles, introduced chickweed, chickweeds"
clover,"melilot trefoil, clovers, clower, lamb-sucklings, melilot, shamrock, purple wort, medic, bur medic, medicago, burr clover, lamb's suckling, claver, bur-clover, burrmedic, purple-wort, burmedic, black medic, burrclover, bur clover, medick, nonsuch, white trefoil, burr medick, true trefoil, burr-clover, little hop clover, sheep's gowan, lamb sucklings, sheep's-gowan, burr medic, bur medick, clover, sweet clover, seamrog, burclover, purplewort, california burclover"
cockroach,"cockroaches, cockroach"
coyote,"coyotes, brush wolf, prairie wolf, american jackal, coyote"
dandelion,"piss-abed, lions tooth, doonhead, priest's crown, lions teeth, fairy clock, milkgowan, brown-seed dandelion, crocus dandelion, milk-gowan, priest's-crown, sun in the grass, peasant's clock, pissenlit, dandelions, weedy dandelion, brown-seeded dandelion, lawn dandelion, dashaloga, dandelion clock, doonheadclock, lion's-teeth, puffball, swine's snout, door head clock, sun-in-the-grass, swine snout, dandelion, milk-witch gowan, dumbledore, lions-teeth, blowballs, introduced dandelion, blow ball, piss-in-bed, pee-a-bed, wet-a-bed, blow-ball, priests crown, common dandelion, dent de lion, roadside dandelion, common dandylion, lions-tooth, doonhead clock, faceclock, dens leon, lion's-tooth, doon-head-clock, milk witch gowan, monk's head, swines snout, dent-de-lion, lion's tooth, blowball, english dandelion, lion's teeth, milk gowan"
deer,deer
disease,"disease, disorder"
dodder,"californa dodder, dodder, chaparral dodder, love vine, amarbel"
drosophila,"drosophila, fruit fly, drosophilas"
earwig,"earwig, pincher bug, forkytail, earwigs"
flea,"flea, fleas"
fly,"flies, fly"
fungus,"mildew, mushroom, conk, toadstools, fungus, toadstool, mold, rust, conks, fungi, mushrooms, rot, decay"
gnat,"gnats, gnat"
gopher,"gophers, pocket gopher, gopher"
