main_synonym,synonym_list
abelia,"abelia, linnaea, zabelia"
abutilon,"abutilon, flowering maple, indian mallow, parlor maple, room maple, velvetleaf"
acacia,"acacia, albizia, albizzia, east indian walnut, mimosa, silk plant, silk tree, sirises, thorntree, wattle"
agave,"agave, agave del desierto, century plant, century-plant, centuryplant, desert agave, desert century plant, desert century-plant, desert centuryplant, desert maguey, maguey, maguey de desierto, maguey del desierto"
alder,"alder, alder tree, aldertree, alnus, cordate alder, gray alder, grey alder, hoary alder, italian alder"
almond,"almond, common almond, common sweet almond, cultivated almond, cultivated sweet almond, domestic almond, dried plums, nectarines, peaches, plums, prunes, prunus, stone fruit, sweet almond"
alstroemeria,"alstroemeria, alstromeria lily, lily of the incas, peruvian lily"
alyssum,"alyssum, carpet flower, lobularia, sweet alison, sweet alyssum"
andromeda,"andromeda, japanese andromeda, japanese pieris"
angelica,"angelica, ashitaba, bai zhi, california angelica, dong quai, garden angelica, marsh angelica, poison angelica, seacoast angelica, wild celery"
apple,"apple, apples, common apple, malus, paradise apple, pome fruit, quince"
apricot,"apricot, apricots, armenian plums, briancon apricot, purple apricot"
aralia,"aralia, herbal aralia, japanese spikenard, mountain asparagus, spikenard, udo"
araucaria,"araucaria, chilean pine, monkey puzzle tree, monkey tail tree, pewen, pinonero"
arborvitae,"arborvitae, eastern white-cedar, northern white-cedar, thuja"
artemisia,"artemis herb, artemis' herb, artemis's herb, artemisia, mug wort, mug-wort, mugwort, sage wort, sage-wort, sagebrush, sagewort, sailor's tobacco, sailor's-tobacco, sailors' tobacco, sweet annie, sweet mugwort, sweet sagewort, sweet worm wood, sweet worm-wood, sweet wormwood, sweet wormwort, wormwood, wormwood sage, wormwort"
artichoke,"artichoke, artichokes, cynara, french artichoke, globe artichoke"
ash,"ash, fraxinus"
asparagus,"asparagus, garden asparagus, shatavari, sparrow grass"
aspen,"alamo, american aspen, aspen, cotton tree, cotton wood, cotton-wood, cottonwood, cottonwood tree, fremont cottonwood, golden aspen, mountain aspen, popple, popple tree, popple-tree, populus, populus fremontii, quaking aspen, trembling aspen, trembling poplar, white poplar"
aster,"aster, bushy aster, european michaelmas daisy, late purple aster, michaelmas daisy, michaelmas flower, new york daisy, small white aster, willow aster"
aucuba,"aucuba, gold dust plant, japanese aucuba, japanese laurel, spotted laurel"
avocado,"aguacate, alligator pear, avocado, avocado pear, avocados, persea americana"
azalea,"azalea, rhododendron"
baccharis,"bacara, bacaris, baccharis, coyote brush, coyote-brush, coyotebrush, groundsel tree, groundsel-tree, plowman's spikenard, plowman's-spikenard, prostrate coyote-brush, tree groundsel"
bamboo,"bamboo, bambusa, common bamboo, fish cane bamboo, fish pole bamboo, fish-cane bamboo, fish-pole bamboo, fishcane bamboo, fishing pole bamboo, fishing-pole 
bamboo, fishpole bamboo, gold stem bamboo, gold-stem bamboo, golden bamboo, golden stem bamboo, golden-bamboo, golden-stem bamboo, goldenbamboo, goldstem bamboo, running bamboo, yellow bamboo"
barberry,"barberry, barberry bush, barberry tree, barberry-bush, barberry-tree, berberis, berberos, berberry, berbery, grape holly, grape-holly, grapeholly, holly grape, holly-grape, hollygrape, oregon grape, oregon-grape, oregongrape"
bayberry,"bay-rum tree, bayberry, candleberry, myrica, sweet gale, wax myrtle, wax-myrtle, waxmyrtle"
bean,"bean, beans, bush bean, common bean, french bean, phaseolus vulgaris, pole bean, runner bean"
beech,"beech, common beech, european beech, fagus"
beefwood,"australian pine, beefwood, casuarina, ironwood, she-oak, sheoak, swamp oak, whistling pine"
begonia,begonia
birch,"american dwarf birch, betula, birch, birch tree, birchtree, canoe birch, interior western birch, paper birch, red birch, rocky mountain birch, spring birch, water birch, western black birch, western red birch, western river birch, western water birch, yellow birch"
blackberry,"berries, black berry, black-berry, blackberries, blackberry, blueberries, boysenberries, bramble, brambleberries, brambles, california blackberry, caneberries, cloud berry, cloud-berry, cloudberry, cutleaf blackberry, dewberry, elmleaf blackberry, flowering raspberry, himalayan blackberry, loganberries, marionberries, raspberries, raspberry, raspberry bush, rubus, salmon berry, salmon-berry, salmonberry, tayberries, thimble berry, thimble-berry, thimbleberry"
bottlebrush,"bottlebrush, crimson bottle brush, crimson bottle-brush, crimson bottlebrush, crimson-bottlebrush, melaleuca, rock wattle myrtle, weeping bottle brush, weeping bottle-brush, weeping bottlebrush"
bougainvillea,"bougainvillea, paperflower"
boxwood,"box, boxwood, buxus, english boxwood"
broccoli,"brassica oleracea var. italica, broccoli, calabrese broccoli, sprouting broccoli"
buckthorn,"alder leaf  buckthorn, alder leaved buckthorn, alder leaved coffeeberry, alder-leaf buckthorn, alder-leaf coffeeberry, alder-leafed buckthorn, alder-leaved buck thorn, alder-leaved buck-thorn, alder-leaved buckthorn, alder-leaved coffeeberry, alderleaf buckthorn, alderleaf coffeeberry, buckthorn, coffeeberry, common buckthorn, european buckthorn, european waythorn, false dwarf alder, hart's thorn, low buckthorn, redberry, rhamnus"
buckwheat,"buckwheat, fagopyrum esculentum, silverhull buckwheat, soba"
buddleja,"buddleja, butterfly bush, butterfly-bush, orange eye, summer lilac"
cabbage,"brassica oleracea var. capitata, cabbage, kale, kales, leaf cabbage"
cactus,"cactus, opuntia, prickly pear, saguaro, succulent"
caesalpinia,"barbados flower fence, caesalpinia, dwarf poinciana, flamboyant-de-jardin, flos pavonis, mexican bird of paradise, ohai aliʻi, peacock flower, pride of barbados, red bird of paradise"
camellia,"camellia, camellia japonica, common camellia, japanese camellia"
cantaloupe,"cantaloupe, cucumis melo, mush melon, musk melon, muskmelon, rock melon, spanspek, sweet melon"
carnation,"carnation, clove pink, dianthus caryophyllus, gillies, gilliflower, jove’s flower, nelka, scaffold flower, sops-in-wine"
carob,"carob, carob tree, ceratonia siliqua, locust bean, st john's-bread"
carrot,"carrot, carrots, daucus carota"
cassia,"cassia, gold medallion tree, senna"
catalpa,"catalpa, catalpa tree, catawba"
cauliflower,"brassica oleracea var. botrytis, cauliflower, cyprus colewort, gobi"
ceanothus,"buckbrush, california lilac, ceanothus, soap bush, wild lilac"
cedar,"cedar, cedar tree, cedrus, incense cedar"
cherry,"cherries, cherry, prunus avium, prunus cerasus, sour cherry, sweet cherry, wild cherry"
chestnut,"castanea, chestnut, chinkapin, chinquapin, spanish chestnut, sweet chestnut"
chilopsis,"chilopsis, chilopsis linearis, desert willow, desert-willow"
chinaberry,"bead-tree, cape lilac, chinaberry, chinaberry tree, indian lilac, melia azedarach, persian lilac, pride of india, syringa berrytree, texas umbrella tree, white cedar"
choisya,"choisya, choisya ternata, mexican orange, mexican orange blossom, mock orange"
chrysanthemum,"chrysanthemum, chrysanthemum morifolium, cut mum, dendranthema grandiflora, florist's chrysanthemum, garden mum, mum, pot mum"
cistus,"brown-eyed rockrose, cistus, common gum cistus, gum rockrose, labdanum, rock rose"
