QuestionNumber,QuestionText,ResultRank1,ResultRank2,ResultRank3,ResultRank4,ResultRank5,ResultRank6,ResultRank7,ResultRank8,ResultRank9,ResultRank10
1,"my Night Queen plants have developed brown spots on the leaves and around the edges on some of the leaves. I have followed the advice on watering, light, soil etc. Also tried putting cinnamon on the affected leaves but to no avail. Should I be cutting off the affected leaves or just leave them alone? The plant is very healthy apart from the little brown spots.",Scab...                           (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/DISEASES/scab.html?src=exchbt),Some causes of leaf spots...      (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/DISEASES/cauleafspots.html?src=exchbt),Powdery Mildew on Vegetables...   (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html?src=exchbt),Leaf spot...                      (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/DISEASE/leafspot.html?src=exchbt),Powdery mildew on peas and bea... (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/peapowdermildew.html?src=exchbt),Hydrangea...                      (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/hydrangea.html?src=exchbt),Oleander...                       (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/oleander.html?src=exchbt),Powdery mildew on lettuce...      (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/letpowderymil.html?src=exchbt),Downy mildew on peas...           (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/peadownymildew.html?src=exchbt),Botrytis leafspot (leaf blight... (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/botryslfspot.html?src=exchbt)
2,We have an almond tree that is producing almonds. Come to find out the almonds are full of worms. Can you help with a what type of worm it is and possibly a plan of action?,Almonds...                        (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/almonds.html?src=exchbt),Fertilizing almonds...            (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/CULTURAL/fertilizing.html?src=exchbt),Mealybug species...               (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/spmealybugs.html?src=exchbt),Walnuts...                        (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/walnut.html?src=exchbt),Site selection Almonds and Wal... (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/CULTURAL/almondsite.html?src=exchbt),Walnut Husk Fly...                (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7430.html?src=exchbt),Ground Squirrel...                (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7438.html?src=exchbt),Brown mite...                     (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/PESTS/avbrownmite.html?src=exchbt),Oriental fruit moth...            (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/PESTS/orientfrmoth.html?src=exchbt),Leaffooted Bug...                 (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74168.html?src=exchbt)
3,"Anyone know what this is on our bushes? Looks like a cocoon, but there are a lot of cotton looking like things and bugs all over the vine.",Cotton on bushes?...              (URL: https://ask2.extension.org/kb/faq.php?id=137060),Hydrangea...                      (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/hydrangea.html?src=exchbt),Weevils...                        (URL: http://ipm.ucanr.edu/PMG/GARDEN/FLOWERS/INVERT/weevil.html?src=exchbt),Sycamore Scale...                 (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7409.html?src=exchbt),Gladiolus...                      (URL: http://ipm.ucanr.edu/PMG/GARDEN/FLOWERS/gladiolus.html?src=exchbt),Minute cypress scale...           (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/mincypscale.html?src=exchbt),Manzanita leafgall aphid...       (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/manaph.html?src=exchbt),Verbena...                        (URL: http://ipm.ucanr.edu/PMG/GARDEN/FLOWERS/verbena.html?src=exchbt),Hackberry Woolly Aphid...         (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74111.html?src=exchbt),Sphinx moths...                   (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/PESTS/spinxmoths.html?src=exchbt)
4,"There are some fast moving tiny bugs in my kitchen, bathroom and I found them in the living room now. Sometimes they are black, some light brown and some kinda white. I saw springtail online, but I don't think the one I have jumps. They are tiny like coffee grind, and when it moves, it moves fast.",Fast tiny bug....                 (URL: https://ask2.extension.org/kb/faq.php?id=367191),American Plum Borer...            (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/PESTS/amerplumbor.html?src=exchbt),Filbert weevils and filbertwor... (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/filbertworm.html?src=exchbt),Pea weevil...                     (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/PESTS/peaweevil.html?src=exchbt),Onion maggot...                   (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/PESTS/onionmaggot.html?src=exchbt),Pepper weevil...                  (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/PESTS/pepperweevil.html?src=exchbt),Dichondra flea beetle...          (URL: http://ipm.ucanr.edu/TOOLS/TURF/PESTS/indichon.html?src=exchbt),Flies...                          (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7457.html?src=exchbt),Pest identification and confir... (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/cmnleafbeetle.html?src=exchbt),Gall midges...                    (URL: http://ipm.ucanr.edu/PMG/GARDEN/FLOWERS/INVERT/gallmidge.html?src=exchbt)
5,"I have had weevil infestation in my pantry which I discarded its source. However, they are spread across the house and i could see some of them stick to the outer side of milk carton which are placed inside my bedroom. I dont know if the milk is safe to consume as even if I dont see adult weevil, they might have laid eggs which cannot be seen by naked eyes.",Pantry Pests...                   (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7452.html?src=exchbt),Silverfish and Firebrats...       (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7475.html?src=exchbt),Carpet Beetles...                 (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7436.html?src=exchbt),Delusory Parasitosis...           (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7443.html?src=exchbt),Earwigs...                        (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74102.html?src=exchbt),Weevils...                        (URL: http://ipm.ucanr.edu/PMG/GARDEN/FLOWERS/INVERT/weevil.html?src=exchbt),Gran Weevils attached to milk ... (URL: https://ask2.extension.org/kb/faq.php?id=541334),Spiders...                        (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7442.html?src=exchbt),Carpenter Bees...                 (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7417.html?src=exchbt),Bed Bugs...                       (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7454.html?src=exchbt)
6,"My milkweed have already bloomed, but now there are strange ""caterpillars"" on the leaves. They are about 3/4 inch long, have black bodies with orange either on the top or bottom.  The insects are fuzzy and I think they are eating the leaves.  Should I try to kill them and if so, how?",Redhumped Caterpillar...          (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7474.html?src=exchbt),Aphids...                         (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7404.html?src=exchbt),Minute cypress scale...           (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/mincypscale.html?src=exchbt),Sphinx moths...                   (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/PESTS/spinxmoths.html?src=exchbt),Lawn Insects...                   (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7476.html?src=exchbt),Biological Control and Natural... (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74140.html?src=exchbt),Leaf-feeding Caterpillars...      (URL: http://ipm.ucanr.edu/QT/lfcaterpillarscard.html?src=exchbt),Roses: Insects and Mites...       (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7466.html?src=exchbt),Hackberry woolly aphid...         (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/hackaph.html?src=exchbt),Sycamore Scale...                 (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7409.html?src=exchbt)
7,"I have a black mold looking fungus growing on my apple trees where I pruned them last year. Wondering what it is, how I can prevent it next time I prune the trees, and how to treat it now.",Botrytis rot (Gray mold) on st... (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/DISEASE/strgraymold.html?src=exchbt),"Botrytis blight, or gray mold...  (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/DISEASES/botrytis.html?src=exchbt)",Phytophthora Root and Crown Ro... (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74133.html?src=exchbt),Powdery Mildew on Fruits and B... (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7494.html?src=exchbt),Eutypa dieback...                 (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/DISEASE/eutypadiebk.html?src=exchbt),Black mold on tomato...           (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/tomblkmold.html?src=exchbt),Armillaria Root Rot...            (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74171.html?src=exchbt),Black mold on onions and garli... (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/DISEASES/onblackmold.html?src=exchbt),Sunscald on tomatoes...           (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/ENVIRON/tomsunscald.html?src=exchbt),Pruning apricot trees...          (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/CULTURAL/apripruning.html?src=exchbt)
10,"I have three Douglas Fir trees in my yard which produce lots of debris. Could I use them as a mulch for my blueberries, rhodies and azaleas?",Bronze birch borer...             (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/bronzebirchborer.html?src=exchbt),Crabgrass...                      (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7456.html?src=exchbt),Carpenterworm...                  (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74105.html?src=exchbt),Reflective mulches...             (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/ENVIRON/alumfoil.html?src=exchbt),Whiteflies...                     (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7401.html?src=exchbt),Mulch and the spread of plant ... (URL: http://ipm.ucanr.edu/PMG/GARDEN/ENVIRON/mulchpath.html?src=exchbt),Woodpeckers...                    (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74124.html?src=exchbt),Douglas fir...                    (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/douglasfir.html?src=exchbt),"Conifer bark and twig weevils,... (URL: http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/pineweevils.html?src=exchbt)",Tree Squirrels...                 (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74122.html?src=exchbt)
23,There are holes approx. 6 inches wide and 6-8 inches deep in about a dozen places in our yard. Need to know what it might be and what to do to get rid of this pest.,Pocket Gophers...                 (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7433.html?src=exchbt),Moles...                          (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74115.html?src=exchbt),Skunks...                         (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74118.html?src=exchbt),Weevils...                        (URL: http://ipm.ucanr.edu/PMG/GARDEN/FLOWERS/INVERT/weevil.html?src=exchbt),Worming...                        (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/ENVIRON/worming.html?src=exchbt),Wood-Boring Beetles in Homes...   (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7418.html?src=exchbt),Planting walnuts...               (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/CULTURAL/walnutplanting.html?src=exchbt),Planting asparagus...             (URL: http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/asparseed.html?src=exchbt),Raccoons...                       (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74116.html?src=exchbt),Kikuyugrass...                    (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7458.html?src=exchbt)
26,"We had a new elk herd in our area last year. They managed to eat all of the fruit off the trees, plus damaging the trees. They enjoyed many items from our garden, especially the corn and sunflowers and went on to trample low growing things before moving on to the squash, etc. Any suggestions for detouring the elk?",Deer...                           (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74117.html?src=exchbt),Tree Squirrels...                 (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74122.html?src=exchbt),Coyote...                         (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74135.html?src=exchbt),Pocket Gophers...                 (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7433.html?src=exchbt),Woodpeckers...                    (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74124.html?src=exchbt),Deer Mouse...                     (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74161.html?src=exchbt),Ground Squirrel...                (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7438.html?src=exchbt),Boxelder Bug...                   (URL: http://ipm.ucanr.edu/PMG/PESTNOTES/pn74114.html?src=exchbt),Amorbia...                        (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/PESTS/amorbia.html?src=exchbt),Thinning apples...                (URL: http://ipm.ucanr.edu/PMG/GARDEN/FRUIT/ENVIRON/thinning.html?src=exchbt)
