Pest,Question,Expected answer reference(s),URL,Crawled,Notes,Alternative
Peach leaf curl,How do you treat peach leaf curl?,Pest Notes: Peach Leaf Curl,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7426.html?src=exchbt,Y,,
Peach leaf curl,How can I get rid of peach leaf curl?,Pest Notes: Peach Leaf Curl,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7426.html?src=exchbt,Y,,
Peach leaf curl,"If my nectarine tree looks like it has peach leaf curl, how can I cure it?",Pest Notes: Peach Leaf Curl,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7426.html?src=exchbt,Y,,
Peach leaf curl,What is the best way to get rid of peach leaf curl on peach and nectarine trees?,Pest Notes: Peach Leaf Curl,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7426.html?src=exchbt,Y,,
Oriental cockroach,What are the big black bugs on my patio at night?,Pest Notes: Cockroaches,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7467.html?src=exchbt,Y,,
Oriental cockroach,Are Oriental cockroaches harmful?,Pest Notes: Cockroaches,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7467.html?src=exchbt,Y,,
Oriental cockroach,Can I get disease from Oriental cockroaches if they get into my home?,Pest Notes: Cockroaches,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7467.html?src=exchbt,Y,,
roof rats,What attracts roof rats to your house?,Pest Notes: Rats,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74106.html?src=exchbt,Y,,
roof rats,There are roof rats getting into my home. What's the best way to keep them out without using rat poison?,Pest Notes: Rats,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74106.html?src=exchbt,Y,,
rats,I think I have rats in my home. What kind of rat poison works best? What else can I do to get rid of them?,Pest Notes: Rats,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74106.html?src=exchbt,Y,,
ants in kitchen,How do I get rid of ants in my kitchen?,Pest Notes: Ants,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7411.html?src=exchbt,Y,,
ants in kitchen,"In the summer, I get ant trails all over my kitchen. Why are they coming inside? What will keep them out?",Pest Notes: Ants,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7411.html?src=exchbt,Y,,
rust on roses,What does rust on roses look like?,Pest Notes: Roses: Diseases and Disorders,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7463.html?src=exchbt,Y,,
