Question,CorrectTitle,URL,Crawled,Training
How do you treat peach leaf curl?,Peach Leaf Curl,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7426.html?src=exchbt,Y,Y
How can I get rid of peach leaf curl?,Peach Leaf Curl,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7426.html?src=exchbt,Y,Y
"If my nectarine tree looks like it has peach leaf curl, how can I cure it?",Peach Leaf Curl,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7426.html?src=exchbt,Y,Y
What is the best way to get rid of peach leaf curl on peach and nectarine trees?,Peach Leaf Curl,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7426.html?src=exchbt,Y,Y
What are the big black bugs on my patio at night?,Cockroaches,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7467.html?src=exchbt,Y,Y
Are Oriental cockroaches harmful?,Cockroaches,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7467.html?src=exchbt,Y,Y
Can I get disease from Oriental cockroaches if they get into my home?,Cockroaches,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7467.html?src=exchbt,Y,Y
What attracts roof rats to your house?,Rats,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74106.html?src=exchbt,Y,Y
There are roof rats getting into my home. What's the best way to keep them out without using rat poison?,Rats,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74106.html?src=exchbt,Y,Y
I think I have rats in my home. What kind of rat poison works best? What else can I do to get rid of them?,Rats,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74106.html?src=exchbt,Y,Y
How do I get rid of ants in my kitchen?,Ants,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7411.html?src=exchbt,Y,Y
"In the summer, I get ant trails all over my kitchen. Why are they coming inside? What will keep them out?",Ants,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7411.html?src=exchbt,Y,Y
What does rust on roses look like?,Roses: Diseases and Abiotic Disorders,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7463.html?src=exchbt,Y,Y
My rose leaves are covered with dusty orange spots. Is it rust? What can I do about it?,Roses: Diseases and Abiotic Disorders,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7463.html?src=exchbt,Y,Y
There are tons of little green bugs on my rose bushes that I think are aphids. Are they bad for my roses? What controls them?,"Aphids
Roses: Insects and Mites","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7404.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7466.html?src=exchbt",Y,Y
How do you get rid of aphids on roses?,"Aphids
Roses: Insects and Mites","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7404.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7466.html?src=exchbt",Y,Y
Where are the little beetles on my window sill coming from?,Carpet Beetles,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7436.html?src=exchbt,Y,Y
How did I get carpet beetles in my home?,Carpet Beetles,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7436.html?src=exchbt,Y,Y
What is biting me in bed?,"Bed Bugs
Conenose Bugs
Fleas","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7454.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7455.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7419.html?src=exchbt",Y,Y
What causes tomatoes to wilt?,Tomato,http://ipm.ucanr.edu/home-and-landscape/tomato/index.html,Y,Y
Will powdery mildew kill my zucchini?,Powdery Mildew on Vegetables,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7406.html?src=exchbt,Y,Y
"Why is my tree dying?
[needed information: type of tree, cultural care e.g. irrigation]","Wood Decay Fungi in Landscape Trees
Armillaria Root Rot","http://ipm.ucanr.edu/PMG/PESTNOTES/pn74109.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn74171.html?src=exchbt",Y,Y
"I planted seeds but they never came up. What happened?
[needed information: type of plant, cultural information]",Damping-off Diseases in the Garden,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74132.html?src=exchbt,Y,Y
How do I kill weeds without killing my lawn?,Weed Management in Lawns,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74113.html?src=exchbt,Y,Y
How do you keep bermudagrass from spreading in flower beds?,"Bermudagrass
Weed Management in Landscapes","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7453.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7441.html?src=exchbt",Y,Y
How can I tell the difference between bermudagrass and crabgrass?,"Bermudagrass
Weed Management in Landscapes","http://ipm.ucanr.edu/PMG/PESTNOTES/pn7453.html?src=exchbt
http://ipm.ucanr.edu/PMG/PESTNOTES/pn7441.html?src=exchbt",Y,Y
When should I plant asparagus?,Time to plant Asparagus,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/asptimeplant.html,Y,Y
What is the best time of year for planting asparagus?,Time to plant Asparagus,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/asptimeplant.html,Y,Y
Is it better to plant asparagus in spring or should I plant it in winter?,Time to plant Asparagus,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/asptimeplant.html,Y,Y
Should vegetable gardens be planted in a sunny location or should they be planted in the shade?,Site selection,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/sitesel.html,Y,Y
Can I plant vegetables in the shade?,Site selection,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/sitesel.html,Y,Y
What is the best location for a vegetable garden?,Site selection,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/CULTURAL/sitesel.html,Y,Y
How do you stop blossom end rot on tomatoes?,Blossom end rot,http://ipm.ucanr.edu/PMG/GARDEN/VEGES/ENVIRON/blossomendrot.html,Y,Y
"What's wrong with my palm tree?
[needed information: description of symptoms, type of palm tree]",Palm Diseases in the Landscape,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74148.html?src=exchbt,Y,Y
"If my palm tree has little black spots on it does that mean it has a disease and will it die?
[needed information: type of palm tree]",Palm Diseases in the Landscape,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74148.html?src=exchbt,Y,Y
How do you get rid of fungus gnats?,Fungus Gnats,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7448.html?src=exchbt,Y,Y
How do you set a gopher trap?,"Pocket Gophers
",http://ipm.ucanr.edu/PMG/PESTNOTES/pn7433.html?src=exchbt,Y,Y
What insecticide gets rid of whiteflies?,Whiteflies,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7401.html?src=exchbt,Y,Y
"What do scale insects look like?
[needed information: type of plant]",Scales,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7408.html?src=exchbt,Y,Y
How do you stop mealybugs?,"Mealybugs
Mealybugs
Mealybugs","http://ipm.ucanr.edu/PMG/PESTNOTES/pn74174.html?src=exchbt
http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/mealybugs-1.html?src=exchbt
http://ipm.ucanr.edu/PMG/GARDEN/PLANTS/INVERT/mealybugs.html?src=exchbt",Y,Y
Where do ground squirrels live?,Ground Squirrel,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7438.html?src=exchbt,Y,Y
Why are the leaves on my houseplant turning brown?,Houseplant Problems,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74172.html?src=exchbt,Y,Y
"How do you kill head lice?
[needed information: type of plant, cultural care]",Head Lice,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7446.html?src=exchbt,Y,Y
How do you keep mosquitoes away?,Mosquitoes,http://ipm.ucanr.edu/PMG/PESTNOTES/pn7451.html?src=exchbt,Y,Y
How do I deter deer from my garden?,Deer,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74117.html?src=exchbt,Y,Y
Is there a way to keep deer out of my garden?,Deer,http://ipm.ucanr.edu/PMG/PESTNOTES/pn74117.html?src=exchbt,Y,Y
